Year,Quarter,NamedCost,Values,COICOP,CDID,Source,Websource,Grouptotal
1997,Q1,Totalexpenditure,144887000000.0,NAT0,ABPB,0GSCN,https://www.ons.gov.uk/search?q=ABPB,1
1997,Q2,Totalexpenditure,150474000000.0,NAT0,ABPB,0GSCN,https://www.ons.gov.uk/search?q=ABPB,1
1997,Q3,Totalexpenditure,155809000000.0,NAT0,ABPB,0GSCN,https://www.ons.gov.uk/search?q=ABPB,1
1997,Q4,Totalexpenditure,159193000000.0,NAT0,ABPB,0GSCN,https://www.ons.gov.uk/search?q=ABPB,1
1998,Q1,Totalexpenditure,153347000000.0,NAT0,ABPB,0GSCN,https://www.ons.gov.uk/search?q=ABPB,1
1998,Q2,Totalexpenditure,158601000000.0,NAT0,ABPB,0GSCN,https://www.ons.gov.uk/search?q=ABPB,1
1998,Q3,Totalexpenditure,164976000000.0,NAT0,ABPB,0GSCN,https://www.ons.gov.uk/search?q=ABPB,1
1998,Q4,Totalexpenditure,167673000000.0,NAT0,ABPB,0GSCN,https://www.ons.gov.uk/search?q=ABPB,1
1999,Q1,Totalexpenditure,161764000000.0,NAT0,ABPB,0GSCN,https://www.ons.gov.uk/search?q=ABPB,1
1999,Q2,Totalexpenditure,167809000000.0,NAT0,ABPB,0GSCN,https://www.ons.gov.uk/search?q=ABPB,1
1999,Q3,Totalexpenditure,171596000000.0,NAT0,ABPB,0GSCN,https://www.ons.gov.uk/search?q=ABPB,1
1999,Q4,Totalexpenditure,175395000000.0,NAT0,ABPB,0GSCN,https://www.ons.gov.uk/search?q=ABPB,1
2000,Q1,Totalexpenditure,169603000000.0,NAT0,ABPB,0GSCN,https://www.ons.gov.uk/search?q=ABPB,1
2000,Q2,Totalexpenditure,174789000000.0,NAT0,ABPB,0GSCN,https://www.ons.gov.uk/search?q=ABPB,1
2000,Q3,Totalexpenditure,180665000000.0,NAT0,ABPB,0GSCN,https://www.ons.gov.uk/search?q=ABPB,1
2000,Q4,Totalexpenditure,184449000000.0,NAT0,ABPB,0GSCN,https://www.ons.gov.uk/search?q=ABPB,1
2001,Q1,Totalexpenditure,176384000000.0,NAT0,ABPB,0GSCN,https://www.ons.gov.uk/search?q=ABPB,1
2001,Q2,Totalexpenditure,182014000000.0,NAT0,ABPB,0GSCN,https://www.ons.gov.uk/search?q=ABPB,1
2001,Q3,Totalexpenditure,188834000000.0,NAT0,ABPB,0GSCN,https://www.ons.gov.uk/search?q=ABPB,1
2001,Q4,Totalexpenditure,190719000000.0,NAT0,ABPB,0GSCN,https://www.ons.gov.uk/search?q=ABPB,1
2002,Q1,Totalexpenditure,181615000000.0,NAT0,ABPB,0GSCN,https://www.ons.gov.uk/search?q=ABPB,1
2002,Q2,Totalexpenditure,188019000000.0,NAT0,ABPB,0GSCN,https://www.ons.gov.uk/search?q=ABPB,1
2002,Q3,Totalexpenditure,193679000000.0,NAT0,ABPB,0GSCN,https://www.ons.gov.uk/search?q=ABPB,1
2002,Q4,Totalexpenditure,199100000000.0,NAT0,ABPB,0GSCN,https://www.ons.gov.uk/search?q=ABPB,1
2003,Q1,Totalexpenditure,188853000000.0,NAT0,ABPB,0GSCN,https://www.ons.gov.uk/search?q=ABPB,1
2003,Q2,Totalexpenditure,196833000000.0,NAT0,ABPB,0GSCN,https://www.ons.gov.uk/search?q=ABPB,1
2003,Q3,Totalexpenditure,203698000000.0,NAT0,ABPB,0GSCN,https://www.ons.gov.uk/search?q=ABPB,1
2003,Q4,Totalexpenditure,208284000000.0,NAT0,ABPB,0GSCN,https://www.ons.gov.uk/search?q=ABPB,1
2004,Q1,Totalexpenditure,197631000000.0,NAT0,ABPB,0GSCN,https://www.ons.gov.uk/search?q=ABPB,1
2004,Q2,Totalexpenditure,206305000000.0,NAT0,ABPB,0GSCN,https://www.ons.gov.uk/search?q=ABPB,1
2004,Q3,Totalexpenditure,212751000000.0,NAT0,ABPB,0GSCN,https://www.ons.gov.uk/search?q=ABPB,1
2004,Q4,Totalexpenditure,218508000000.0,NAT0,ABPB,0GSCN,https://www.ons.gov.uk/search?q=ABPB,1
2005,Q1,Totalexpenditure,208446000000.0,NAT0,ABPB,0GSCN,https://www.ons.gov.uk/search?q=ABPB,1
2005,Q2,Totalexpenditure,214960000000.0,NAT0,ABPB,0GSCN,https://www.ons.gov.uk/search?q=ABPB,1
2005,Q3,Totalexpenditure,222292000000.0,NAT0,ABPB,0GSCN,https://www.ons.gov.uk/search?q=ABPB,1
2005,Q4,Totalexpenditure,228871000000.0,NAT0,ABPB,0GSCN,https://www.ons.gov.uk/search?q=ABPB,1
2006,Q1,Totalexpenditure,216234000000.0,NAT0,ABPB,0GSCN,https://www.ons.gov.uk/search?q=ABPB,1
2006,Q2,Totalexpenditure,224489000000.0,NAT0,ABPB,0GSCN,https://www.ons.gov.uk/search?q=ABPB,1
2006,Q3,Totalexpenditure,231183000000.0,NAT0,ABPB,0GSCN,https://www.ons.gov.uk/search?q=ABPB,1
2006,Q4,Totalexpenditure,236118000000.0,NAT0,ABPB,0GSCN,https://www.ons.gov.uk/search?q=ABPB,1
2007,Q1,Totalexpenditure,223258000000.0,NAT0,ABPB,0GSCN,https://www.ons.gov.uk/search?q=ABPB,1
2007,Q2,Totalexpenditure,235619000000.0,NAT0,ABPB,0GSCN,https://www.ons.gov.uk/search?q=ABPB,1
2007,Q3,Totalexpenditure,244820000000.0,NAT0,ABPB,0GSCN,https://www.ons.gov.uk/search?q=ABPB,1
2007,Q4,Totalexpenditure,248993000000.0,NAT0,ABPB,0GSCN,https://www.ons.gov.uk/search?q=ABPB,1
2008,Q1,Totalexpenditure,239847000000.0,NAT0,ABPB,0GSCN,https://www.ons.gov.uk/search?q=ABPB,1
2008,Q2,Totalexpenditure,247168000000.0,NAT0,ABPB,0GSCN,https://www.ons.gov.uk/search?q=ABPB,1
2008,Q3,Totalexpenditure,249843000000.0,NAT0,ABPB,0GSCN,https://www.ons.gov.uk/search?q=ABPB,1
2008,Q4,Totalexpenditure,245990000000.0,NAT0,ABPB,0GSCN,https://www.ons.gov.uk/search?q=ABPB,1
2009,Q1,Totalexpenditure,232824000000.0,NAT0,ABPB,0GSCN,https://www.ons.gov.uk/search?q=ABPB,1
2009,Q2,Totalexpenditure,237399000000.0,NAT0,ABPB,0GSCN,https://www.ons.gov.uk/search?q=ABPB,1
2009,Q3,Totalexpenditure,241621000000.0,NAT0,ABPB,0GSCN,https://www.ons.gov.uk/search?q=ABPB,1
2009,Q4,Totalexpenditure,246487000000.0,NAT0,ABPB,0GSCN,https://www.ons.gov.uk/search?q=ABPB,1
2010,Q1,Totalexpenditure,232769000000.0,NAT0,ABPB,0GSCN,https://www.ons.gov.uk/search?q=ABPB,1
2010,Q2,Totalexpenditure,245792000000.0,NAT0,ABPB,0GSCN,https://www.ons.gov.uk/search?q=ABPB,1
2010,Q3,Totalexpenditure,251945000000.0,NAT0,ABPB,0GSCN,https://www.ons.gov.uk/search?q=ABPB,1
2010,Q4,Totalexpenditure,258224000000.0,NAT0,ABPB,0GSCN,https://www.ons.gov.uk/search?q=ABPB,1
2011,Q1,Totalexpenditure,246604000000.0,NAT0,ABPB,0GSCN,https://www.ons.gov.uk/search?q=ABPB,1
2011,Q2,Totalexpenditure,252639000000.0,NAT0,ABPB,0GSCN,https://www.ons.gov.uk/search?q=ABPB,1
2011,Q3,Totalexpenditure,259465000000.0,NAT0,ABPB,0GSCN,https://www.ons.gov.uk/search?q=ABPB,1
2011,Q4,Totalexpenditure,266489000000.0,NAT0,ABPB,0GSCN,https://www.ons.gov.uk/search?q=ABPB,1
2012,Q1,Totalexpenditure,252152000000.0,NAT0,ABPB,0GSCN,https://www.ons.gov.uk/search?q=ABPB,1
2012,Q2,Totalexpenditure,260440000000.0,NAT0,ABPB,0GSCN,https://www.ons.gov.uk/search?q=ABPB,1
2012,Q3,Totalexpenditure,268692000000.0,NAT0,ABPB,0GSCN,https://www.ons.gov.uk/search?q=ABPB,1
2012,Q4,Totalexpenditure,279506000000.0,NAT0,ABPB,0GSCN,https://www.ons.gov.uk/search?q=ABPB,1
2013,Q1,Totalexpenditure,265744000000.0,NAT0,ABPB,0GSCN,https://www.ons.gov.uk/search?q=ABPB,1
2013,Q2,Totalexpenditure,273750000000.0,NAT0,ABPB,0GSCN,https://www.ons.gov.uk/search?q=ABPB,1
2013,Q3,Totalexpenditure,284984000000.0,NAT0,ABPB,0GSCN,https://www.ons.gov.uk/search?q=ABPB,1
2013,Q4,Totalexpenditure,290302000000.0,NAT0,ABPB,0GSCN,https://www.ons.gov.uk/search?q=ABPB,1
2014,Q1,Totalexpenditure,276720000000.0,NAT0,ABPB,0GSCN,https://www.ons.gov.uk/search?q=ABPB,1
2014,Q2,Totalexpenditure,286135000000.0,NAT0,ABPB,0GSCN,https://www.ons.gov.uk/search?q=ABPB,1
2014,Q3,Totalexpenditure,297099000000.0,NAT0,ABPB,0GSCN,https://www.ons.gov.uk/search?q=ABPB,1
2014,Q4,Totalexpenditure,301776000000.0,NAT0,ABPB,0GSCN,https://www.ons.gov.uk/search?q=ABPB,1
2015,Q1,Totalexpenditure,285845000000.0,NAT0,ABPB,0GSCN,https://www.ons.gov.uk/search?q=ABPB,1
2015,Q2,Totalexpenditure,293535000000.0,NAT0,ABPB,0GSCN,https://www.ons.gov.uk/search?q=ABPB,1
2015,Q3,Totalexpenditure,305326000000.0,NAT0,ABPB,0GSCN,https://www.ons.gov.uk/search?q=ABPB,1
2015,Q4,Totalexpenditure,309477000000.0,NAT0,ABPB,0GSCN,https://www.ons.gov.uk/search?q=ABPB,1
2016,Q1,Totalexpenditure,297893000000.0,NAT0,ABPB,0GSCN,https://www.ons.gov.uk/search?q=ABPB,1
2016,Q2,Totalexpenditure,308013000000.0,NAT0,ABPB,0GSCN,https://www.ons.gov.uk/search?q=ABPB,1
2016,Q3,Totalexpenditure,322120000000.0,NAT0,ABPB,0GSCN,https://www.ons.gov.uk/search?q=ABPB,1
2016,Q4,Totalexpenditure,327627000000.0,NAT0,ABPB,0GSCN,https://www.ons.gov.uk/search?q=ABPB,1
2017,Q1,Totalexpenditure,310762000000.0,NAT0,ABPB,0GSCN,https://www.ons.gov.uk/search?q=ABPB,1
2017,Q2,Totalexpenditure,319811000000.0,NAT0,ABPB,0GSCN,https://www.ons.gov.uk/search?q=ABPB,1
2017,Q3,Totalexpenditure,331268000000.0,NAT0,ABPB,0GSCN,https://www.ons.gov.uk/search?q=ABPB,1
2017,Q4,Totalexpenditure,339301000000.0,NAT0,ABPB,0GSCN,https://www.ons.gov.uk/search?q=ABPB,1
2018,Q1,Totalexpenditure,323042000000.0,NAT0,ABPB,0GSCN,https://www.ons.gov.uk/search?q=ABPB,1
2018,Q2,Totalexpenditure,332081000000.0,NAT0,ABPB,0GSCN,https://www.ons.gov.uk/search?q=ABPB,1
2018,Q3,Totalexpenditure,343744000000.0,NAT0,ABPB,0GSCN,https://www.ons.gov.uk/search?q=ABPB,1
2018,Q4,Totalexpenditure,353175000000.0,NAT0,ABPB,0GSCN,https://www.ons.gov.uk/search?q=ABPB,1
2019,Q1,Totalexpenditure,331678000000.0,NAT0,ABPB,0GSCN,https://www.ons.gov.uk/search?q=ABPB,1
2019,Q2,Totalexpenditure,344200000000.0,NAT0,ABPB,0GSCN,https://www.ons.gov.uk/search?q=ABPB,1
2019,Q3,Totalexpenditure,353800000000.0,NAT0,ABPB,0GSCN,https://www.ons.gov.uk/search?q=ABPB,1
2019,Q4,Totalexpenditure,357986000000.0,NAT0,ABPB,0GSCN,https://www.ons.gov.uk/search?q=ABPB,1
2020,Q1,Totalexpenditure,328363000000.0,NAT0,ABPB,0GSCN,https://www.ons.gov.uk/search?q=ABPB,1
2020,Q2,Totalexpenditure,256513000000.0,NAT0,ABPB,0GSCN,https://www.ons.gov.uk/search?q=ABPB,1
2020,Q3,Totalexpenditure,310625000000.0,NAT0,ABPB,0GSCN,https://www.ons.gov.uk/search?q=ABPB,1
2020,Q4,Totalexpenditure,318973000000.0,NAT0,ABPB,0GSCN,https://www.ons.gov.uk/search?q=ABPB,1
2021,Q1,Totalexpenditure,291048000000.0,NAT0,ABPB,0GSCN,https://www.ons.gov.uk/search?q=ABPB,1
2021,Q2,Totalexpenditure,330032000000.0,NAT0,ABPB,0GSCN,https://www.ons.gov.uk/search?q=ABPB,1
2021,Q3,Totalexpenditure,345466000000.0,NAT0,ABPB,0GSCN,https://www.ons.gov.uk/search?q=ABPB,1
2021,Q4,Totalexpenditure,359774000000.0,NAT0,ABPB,0GSCN,https://www.ons.gov.uk/search?q=ABPB,1
2022,Q1,Totalexpenditure,347679000000.0,NAT0,ABPB,0GSCN,https://www.ons.gov.uk/search?q=ABPB,1
2022,Q2,Totalexpenditure,377970000000.0,NAT0,ABPB,0GSCN,https://www.ons.gov.uk/search?q=ABPB,1
2022,Q3,Totalexpenditure,387241000000.0,NAT0,ABPB,0GSCN,https://www.ons.gov.uk/search?q=ABPB,1
2022,Q4,Totalexpenditure,401625000000.0,NAT0,ABPB,0GSCN,https://www.ons.gov.uk/search?q=ABPB,1
1997,Q1,Nettourism,291000000.0,TOUR,ABTE,0GSCN,https://www.ons.gov.uk/search?q=ABTE,1
1997,Q2,Nettourism,607000000.0,TOUR,ABTE,0GSCN,https://www.ons.gov.uk/search?q=ABTE,1
1997,Q3,Nettourism,965000000.0,TOUR,ABTE,0GSCN,https://www.ons.gov.uk/search?q=ABTE,1
1997,Q4,Nettourism,-203000000.0,TOUR,ABTE,0GSCN,https://www.ons.gov.uk/search?q=ABTE,1
1998,Q1,Nettourism,560000000.0,TOUR,ABTE,0GSCN,https://www.ons.gov.uk/search?q=ABTE,1
1998,Q2,Nettourism,1043000000.0,TOUR,ABTE,0GSCN,https://www.ons.gov.uk/search?q=ABTE,1
1998,Q3,Nettourism,1560000000.0,TOUR,ABTE,0GSCN,https://www.ons.gov.uk/search?q=ABTE,1
1998,Q4,Nettourism,141000000.0,TOUR,ABTE,0GSCN,https://www.ons.gov.uk/search?q=ABTE,1
1999,Q1,Nettourism,919000000.0,TOUR,ABTE,0GSCN,https://www.ons.gov.uk/search?q=ABTE,1
