Year,Quarter,NamedCost,COICOP,CDID,Source,Websource,ExpenditureValue,GroupTotal,Year_Quarter
1997,Q1,Housingwaterelectricitygasandotherfuel,04,ADFS,04CN,https://www.ons.gov.uk/search?q=ADFS,41064000000.0,0,1997 Q1
1997,Q2,Housingwaterelectricitygasandotherfuel,04,ADFS,04CN,https://www.ons.gov.uk/search?q=ADFS,39496000000.0,0,1997 Q2
1997,Q3,Housingwaterelectricitygasandotherfuel,04,ADFS,04CN,https://www.ons.gov.uk/search?q=ADFS,39264000000.0,0,1997 Q3
1997,Q4,Housingwaterelectricitygasandotherfuel,04,ADFS,04CN,https://www.ons.gov.uk/search?q=ADFS,41305000000.0,0,1997 Q4
1998,Q1,Housingwaterelectricitygasandotherfuel,04,ADFS,04CN,https://www.ons.gov.uk/search?q=ADFS,41993000000.0,0,1998 Q1
1998,Q2,Housingwaterelectricitygasandotherfuel,04,ADFS,04CN,https://www.ons.gov.uk/search?q=ADFS,40967000000.0,0,1998 Q2
1998,Q3,Housingwaterelectricitygasandotherfuel,04,ADFS,04CN,https://www.ons.gov.uk/search?q=ADFS,40684000000.0,0,1998 Q3
1998,Q4,Housingwaterelectricitygasandotherfuel,04,ADFS,04CN,https://www.ons.gov.uk/search?q=ADFS,42999000000.0,0,1998 Q4
1999,Q1,Housingwaterelectricitygasandotherfuel,04,ADFS,04CN,https://www.ons.gov.uk/search?q=ADFS,43524000000.0,0,1999 Q1
1999,Q2,Housingwaterelectricitygasandotherfuel,04,ADFS,04CN,https://www.ons.gov.uk/search?q=ADFS,42428000000.0,0,1999 Q2
1999,Q3,Housingwaterelectricitygasandotherfuel,04,ADFS,04CN,https://www.ons.gov.uk/search?q=ADFS,42390000000.0,0,1999 Q3
1999,Q4,Housingwaterelectricitygasandotherfuel,04,ADFS,04CN,https://www.ons.gov.uk/search?q=ADFS,44678000000.0,0,1999 Q4
2000,Q1,Housingwaterelectricitygasandotherfuel,04,ADFS,04CN,https://www.ons.gov.uk/search?q=ADFS,45619000000.0,0,2000 Q1
2000,Q2,Housingwaterelectricitygasandotherfuel,04,ADFS,04CN,https://www.ons.gov.uk/search?q=ADFS,43967000000.0,0,2000 Q2
2000,Q3,Housingwaterelectricitygasandotherfuel,04,ADFS,04CN,https://www.ons.gov.uk/search?q=ADFS,43632000000.0,0,2000 Q3
2000,Q4,Housingwaterelectricitygasandotherfuel,04,ADFS,04CN,https://www.ons.gov.uk/search?q=ADFS,46084000000.0,0,2000 Q4
2001,Q1,Housingwaterelectricitygasandotherfuel,04,ADFS,04CN,https://www.ons.gov.uk/search?q=ADFS,47031000000.0,0,2001 Q1
2001,Q2,Housingwaterelectricitygasandotherfuel,04,ADFS,04CN,https://www.ons.gov.uk/search?q=ADFS,45630000000.0,0,2001 Q2
2001,Q3,Housingwaterelectricitygasandotherfuel,04,ADFS,04CN,https://www.ons.gov.uk/search?q=ADFS,45404000000.0,0,2001 Q3
2001,Q4,Housingwaterelectricitygasandotherfuel,04,ADFS,04CN,https://www.ons.gov.uk/search?q=ADFS,47624000000.0,0,2001 Q4
2002,Q1,Housingwaterelectricitygasandotherfuel,04,ADFS,04CN,https://www.ons.gov.uk/search?q=ADFS,48449000000.0,0,2002 Q1
2002,Q2,Housingwaterelectricitygasandotherfuel,04,ADFS,04CN,https://www.ons.gov.uk/search?q=ADFS,47019000000.0,0,2002 Q2
2002,Q3,Housingwaterelectricitygasandotherfuel,04,ADFS,04CN,https://www.ons.gov.uk/search?q=ADFS,46844000000.0,0,2002 Q3
2002,Q4,Housingwaterelectricitygasandotherfuel,04,ADFS,04CN,https://www.ons.gov.uk/search?q=ADFS,49472000000.0,0,2002 Q4
2003,Q1,Housingwaterelectricitygasandotherfuel,04,ADFS,04CN,https://www.ons.gov.uk/search?q=ADFS,50030000000.0,0,2003 Q1
2003,Q2,Housingwaterelectricitygasandotherfuel,04,ADFS,04CN,https://www.ons.gov.uk/search?q=ADFS,48446000000.0,0,2003 Q2
2003,Q3,Housingwaterelectricitygasandotherfuel,04,ADFS,04CN,https://www.ons.gov.uk/search?q=ADFS,48442000000.0,0,2003 Q3
2003,Q4,Housingwaterelectricitygasandotherfuel,04,ADFS,04CN,https://www.ons.gov.uk/search?q=ADFS,50998000000.0,0,2003 Q4
2004,Q1,Housingwaterelectricitygasandotherfuel,04,ADFS,04CN,https://www.ons.gov.uk/search?q=ADFS,52267000000.0,0,2004 Q1
2004,Q2,Housingwaterelectricitygasandotherfuel,04,ADFS,04CN,https://www.ons.gov.uk/search?q=ADFS,50705000000.0,0,2004 Q2
2004,Q3,Housingwaterelectricitygasandotherfuel,04,ADFS,04CN,https://www.ons.gov.uk/search?q=ADFS,50469000000.0,0,2004 Q3
2004,Q4,Housingwaterelectricitygasandotherfuel,04,ADFS,04CN,https://www.ons.gov.uk/search?q=ADFS,53847000000.0,0,2004 Q4
2005,Q1,Housingwaterelectricitygasandotherfuel,04,ADFS,04CN,https://www.ons.gov.uk/search?q=ADFS,54821000000.0,0,2005 Q1
2005,Q2,Housingwaterelectricitygasandotherfuel,04,ADFS,04CN,https://www.ons.gov.uk/search?q=ADFS,53511000000.0,0,2005 Q2
2005,Q3,Housingwaterelectricitygasandotherfuel,04,ADFS,04CN,https://www.ons.gov.uk/search?q=ADFS,53409000000.0,0,2005 Q3
2005,Q4,Housingwaterelectricitygasandotherfuel,04,ADFS,04CN,https://www.ons.gov.uk/search?q=ADFS,56705000000.0,0,2005 Q4
2006,Q1,Housingwaterelectricitygasandotherfuel,04,ADFS,04CN,https://www.ons.gov.uk/search?q=ADFS,58035000000.0,0,2006 Q1
2006,Q2,Housingwaterelectricitygasandotherfuel,04,ADFS,04CN,https://www.ons.gov.uk/search?q=ADFS,56527000000.0,0,2006 Q2
