Year,Quarter,NamedCost,COICOP,CDID,Source,Websource,ExpenditureValue,GroupTotal,Year_Quarter
1997,Q1,Totalnon_durablegoods,TND,UTII,NDGCN,https://www.ons.gov.uk/search?q=UTII,35934000000.0,1,1997 Q1
1997,Q2,Totalnon_durablegoods,TND,UTII,NDGCN,https://www.ons.gov.uk/search?q=UTII,35428000000.0,1,1997 Q2
1997,Q3,Totalnon_durablegoods,TND,UTII,NDGCN,https://www.ons.gov.uk/search?q=UTII,33923000000.0,1,1997 Q3
1997,Q4,Totalnon_durablegoods,TND,UTII,NDGCN,https://www.ons.gov.uk/search?q=UTII,38393000000.0,1,1997 Q4
1998,Q1,Totalnon_durablegoods,TND,UTII,NDGCN,https://www.ons.gov.uk/search?q=UTII,36721000000.0,1,1998 Q1
1998,Q2,Totalnon_durablegoods,TND,UTII,NDGCN,https://www.ons.gov.uk/search?q=UTII,36834000000.0,1,1998 Q2
1998,Q3,Totalnon_durablegoods,TND,UTII,NDGCN,https://www.ons.gov.uk/search?q=UTII,35414000000.0,1,1998 Q3
1998,Q4,Totalnon_durablegoods,TND,UTII,NDGCN,https://www.ons.gov.uk/search?q=UTII,38972000000.0,1,1998 Q4
1999,Q1,Totalnon_durablegoods,TND,UTII,NDGCN,https://www.ons.gov.uk/search?q=UTII,37617000000.0,1,1999 Q1
1999,Q2,Totalnon_durablegoods,TND,UTII,NDGCN,https://www.ons.gov.uk/search?q=UTII,38236000000.0,1,1999 Q2
1999,Q3,Totalnon_durablegoods,TND,UTII,NDGCN,https://www.ons.gov.uk/search?q=UTII,37029000000.0,1,1999 Q3
1999,Q4,Totalnon_durablegoods,TND,UTII,NDGCN,https://www.ons.gov.uk/search?q=UTII,40058000000.0,1,1999 Q4
2000,Q1,Totalnon_durablegoods,TND,UTII,NDGCN,https://www.ons.gov.uk/search?q=UTII,38935000000.0,1,2000 Q1
2000,Q2,Totalnon_durablegoods,TND,UTII,NDGCN,https://www.ons.gov.uk/search?q=UTII,38978000000.0,1,2000 Q2
2000,Q3,Totalnon_durablegoods,TND,UTII,NDGCN,https://www.ons.gov.uk/search?q=UTII,37709000000.0,1,2000 Q3
2000,Q4,Totalnon_durablegoods,TND,UTII,NDGCN,https://www.ons.gov.uk/search?q=UTII,41949000000.0,1,2000 Q4
2001,Q1,Totalnon_durablegoods,TND,UTII,NDGCN,https://www.ons.gov.uk/search?q=UTII,39785000000.0,1,2001 Q1
2001,Q2,Totalnon_durablegoods,TND,UTII,NDGCN,https://www.ons.gov.uk/search?q=UTII,39777000000.0,1,2001 Q2
2001,Q3,Totalnon_durablegoods,TND,UTII,NDGCN,https://www.ons.gov.uk/search?q=UTII,38617000000.0,1,2001 Q3
