Year,Quarter,NamedCost,COICOP,CDID,Source,Websource,ExpenditureValue,GroupTotal,Year_Quarter
1997,Q1,Totalexpenditure,NAT0,ABPB,OCN,https://www.ons.gov.uk/search?q= ABPB ,144887000000.0,1,1997 Q1
1997,Q2,Totalexpenditure,NAT0,ABPB,OCN,https://www.ons.gov.uk/search?q= ABPB ,150474000000.0,1,1997 Q2
1997,Q3,Totalexpenditure,NAT0,ABPB,OCN,https://www.ons.gov.uk/search?q= ABPB ,155809000000.0,1,1997 Q3
1997,Q4,Totalexpenditure,NAT0,ABPB,OCN,https://www.ons.gov.uk/search?q= ABPB ,159193000000.0,1,1997 Q4
1998,Q1,Totalexpenditure,NAT0,ABPB,OCN,https://www.ons.gov.uk/search?q= ABPB ,153347000000.0,1,1998 Q1
1998,Q2,Totalexpenditure,NAT0,ABPB,OCN,https://www.ons.gov.uk/search?q= ABPB ,158601000000.0,1,1998 Q2
1998,Q3,Totalexpenditure,NAT0,ABPB,OCN,https://www.ons.gov.uk/search?q= ABPB ,164976000000.0,1,1998 Q3
1998,Q4,Totalexpenditure,NAT0,ABPB,OCN,https://www.ons.gov.uk/search?q= ABPB ,167673000000.0,1,1998 Q4
1999,Q1,Totalexpenditure,NAT0,ABPB,OCN,https://www.ons.gov.uk/search?q= ABPB ,161764000000.0,1,1999 Q1
1999,Q2,Totalexpenditure,NAT0,ABPB,OCN,https://www.ons.gov.uk/search?q= ABPB ,167809000000.0,1,1999 Q2
1999,Q3,Totalexpenditure,NAT0,ABPB,OCN,https://www.ons.gov.uk/search?q= ABPB ,171596000000.0,1,1999 Q3
1999,Q4,Totalexpenditure,NAT0,ABPB,OCN,https://www.ons.gov.uk/search?q= ABPB ,175395000000.0,1,1999 Q4
2000,Q1,Totalexpenditure,NAT0,ABPB,OCN,https://www.ons.gov.uk/search?q= ABPB ,169603000000.0,1,2000 Q1
2000,Q2,Totalexpenditure,NAT0,ABPB,OCN,https://www.ons.gov.uk/search?q= ABPB ,174789000000.0,1,2000 Q2
2000,Q3,Totalexpenditure,NAT0,ABPB,OCN,https://www.ons.gov.uk/search?q= ABPB ,180665000000.0,1,2000 Q3
2000,Q4,Totalexpenditure,NAT0,ABPB,OCN,https://www.ons.gov.uk/search?q= ABPB ,184449000000.0,1,2000 Q4
2001,Q1,Totalexpenditure,NAT0,ABPB,OCN,https://www.ons.gov.uk/search?q= ABPB ,176384000000.0,1,2001 Q1
2001,Q2,Totalexpenditure,NAT0,ABPB,OCN,https://www.ons.gov.uk/search?q= ABPB ,182014000000.0,1,2001 Q2
2001,Q3,Totalexpenditure,NAT0,ABPB,OCN,https://www.ons.gov.uk/search?q= ABPB ,188834000000.0,1,2001 Q3
2001,Q4,Totalexpenditure,NAT0,ABPB,OCN,https://www.ons.gov.uk/search?q= ABPB ,190719000000.0,1,2001 Q4
2002,Q1,Totalexpenditure,NAT0,ABPB,OCN,https://www.ons.gov.uk/search?q= ABPB ,181615000000.0,1,2002 Q1
2002,Q2,Totalexpenditure,NAT0,ABPB,OCN,https://www.ons.gov.uk/search?q= ABPB ,188019000000.0,1,2002 Q2
