Year,Quarter,NamedCost,COICOP,CDID,Source,Websource,ExpenditureValue,GroupTotal,Year_Quarter
1997,Q1,Totalsemi_durablegoods,TSD,UTIQ,SDGCN,https://www.ons.gov.uk/search?q=UTIQ,11955000000.0,1,1997 Q1
1997,Q2,Totalsemi_durablegoods,TSD,UTIQ,SDGCN,https://www.ons.gov.uk/search?q=UTIQ,12994000000.0,1,1997 Q2
1997,Q3,Totalsemi_durablegoods,TSD,UTIQ,SDGCN,https://www.ons.gov.uk/search?q=UTIQ,13019000000.0,1,1997 Q3
1997,Q4,Totalsemi_durablegoods,TSD,UTIQ,SDGCN,https://www.ons.gov.uk/search?q=UTIQ,17159000000.0,1,1997 Q4
1998,Q1,Totalsemi_durablegoods,TSD,UTIQ,SDGCN,https://www.ons.gov.uk/search?q=UTIQ,12958000000.0,1,1998 Q1
1998,Q2,Totalsemi_durablegoods,TSD,UTIQ,SDGCN,https://www.ons.gov.uk/search?q=UTIQ,14189000000.0,1,1998 Q2
1998,Q3,Totalsemi_durablegoods,TSD,UTIQ,SDGCN,https://www.ons.gov.uk/search?q=UTIQ,14624000000.0,1,1998 Q3
1998,Q4,Totalsemi_durablegoods,TSD,UTIQ,SDGCN,https://www.ons.gov.uk/search?q=UTIQ,18566000000.0,1,1998 Q4
1999,Q1,Totalsemi_durablegoods,TSD,UTIQ,SDGCN,https://www.ons.gov.uk/search?q=UTIQ,14106000000.0,1,1999 Q1
1999,Q2,Totalsemi_durablegoods,TSD,UTIQ,SDGCN,https://www.ons.gov.uk/search?q=UTIQ,15019000000.0,1,1999 Q2
1999,Q3,Totalsemi_durablegoods,TSD,UTIQ,SDGCN,https://www.ons.gov.uk/search?q=UTIQ,15147000000.0,1,1999 Q3
1999,Q4,Totalsemi_durablegoods,TSD,UTIQ,SDGCN,https://www.ons.gov.uk/search?q=UTIQ,19576000000.0,1,1999 Q4
2000,Q1,Totalsemi_durablegoods,TSD,UTIQ,SDGCN,https://www.ons.gov.uk/search?q=UTIQ,14825000000.0,1,2000 Q1
2000,Q2,Totalsemi_durablegoods,TSD,UTIQ,SDGCN,https://www.ons.gov.uk/search?q=UTIQ,15713000000.0,1,2000 Q2
2000,Q3,Totalsemi_durablegoods,TSD,UTIQ,SDGCN,https://www.ons.gov.uk/search?q=UTIQ,15869000000.0,1,2000 Q3
2000,Q4,Totalsemi_durablegoods,TSD,UTIQ,SDGCN,https://www.ons.gov.uk/search?q=UTIQ,20857000000.0,1,2000 Q4
2001,Q1,Totalsemi_durablegoods,TSD,UTIQ,SDGCN,https://www.ons.gov.uk/search?q=UTIQ,15305000000.0,1,2001 Q1
2001,Q2,Totalsemi_durablegoods,TSD,UTIQ,SDGCN,https://www.ons.gov.uk/search?q=UTIQ,16397000000.0,1,2001 Q2
2001,Q3,Totalsemi_durablegoods,TSD,UTIQ,SDGCN,https://www.ons.gov.uk/search?q=UTIQ,16763000000.0,1,2001 Q3
2001,Q4,Totalsemi_durablegoods,TSD,UTIQ,SDGCN,https://www.ons.gov.uk/search?q=UTIQ,21797000000.0,1,2001 Q4
2002,Q1,Totalsemi_durablegoods,TSD,UTIQ,SDGCN,https://www.ons.gov.uk/search?q=UTIQ,16390000000.0,1,2002 Q1
2002,Q2,Totalsemi_durablegoods,TSD,UTIQ,SDGCN,https://www.ons.gov.uk/search?q=UTIQ,17550000000.0,1,2002 Q2
2002,Q3,Totalsemi_durablegoods,TSD,UTIQ,SDGCN,https://www.ons.gov.uk/search?q=UTIQ,17707000000.0,1,2002 Q3
2002,Q4,Totalsemi_durablegoods,TSD,UTIQ,SDGCN,https://www.ons.gov.uk/search?q=UTIQ,22940000000.0,1,2002 Q4
2003,Q1,Totalsemi_durablegoods,TSD,UTIQ,SDGCN,https://www.ons.gov.uk/search?q=UTIQ,17062000000.0,1,2003 Q1
2003,Q2,Totalsemi_durablegoods,TSD,UTIQ,SDGCN,https://www.ons.gov.uk/search?q=UTIQ,18365000000.0,1,2003 Q2
2003,Q3,Totalsemi_durablegoods,TSD,UTIQ,SDGCN,https://www.ons.gov.uk/search?q=UTIQ,18691000000.0,1,2003 Q3
2003,Q4,Totalsemi_durablegoods,TSD,UTIQ,SDGCN,https://www.ons.gov.uk/search?q=UTIQ,24460000000.0,1,2003 Q4
2004,Q1,Totalsemi_durablegoods,TSD,UTIQ,SDGCN,https://www.ons.gov.uk/search?q=UTIQ,17566000000.0,1,2004 Q1
2004,Q2,Totalsemi_durablegoods,TSD,UTIQ,SDGCN,https://www.ons.gov.uk/search?q=UTIQ,18890000000.0,1,2004 Q2
2004,Q3,Totalsemi_durablegoods,TSD,UTIQ,SDGCN,https://www.ons.gov.uk/search?q=UTIQ,18889000000.0,1,2004 Q3
2004,Q4,Totalsemi_durablegoods,TSD,UTIQ,SDGCN,https://www.ons.gov.uk/search?q=UTIQ,24259000000.0,1,2004 Q4
2005,Q1,Totalsemi_durablegoods,TSD,UTIQ,SDGCN,https://www.ons.gov.uk/search?q=UTIQ,17725000000.0,1,2005 Q1
