Year,Quarter,NamedCost,COICOP,CDID,Source,Websource,ExpenditureValue,GroupTotal,Year_Quarter
1997,Q1,TotalServices,TS,UTIM,SERCN,https://www.ons.gov.uk/search?q=UTIM,80818000000.0,1,1997 Q1
1997,Q2,TotalServices,TS,UTIM,SERCN,https://www.ons.gov.uk/search?q=UTIM,86220000000.0,1,1997 Q2
1997,Q3,TotalServices,TS,UTIM,SERCN,https://www.ons.gov.uk/search?q=UTIM,89426000000.0,1,1997 Q3
1997,Q4,TotalServices,TS,UTIM,SERCN,https://www.ons.gov.uk/search?q=UTIM,87741000000.0,1,1997 Q4
1998,Q1,TotalServices,TS,UTIM,SERCN,https://www.ons.gov.uk/search?q=UTIM,85815000000.0,1,1998 Q1
1998,Q2,TotalServices,TS,UTIM,SERCN,https://www.ons.gov.uk/search?q=UTIM,90612000000.0,1,1998 Q2
1998,Q3,TotalServices,TS,UTIM,SERCN,https://www.ons.gov.uk/search?q=UTIM,94187000000.0,1,1998 Q3
1998,Q4,TotalServices,TS,UTIM,SERCN,https://www.ons.gov.uk/search?q=UTIM,92519000000.0,1,1998 Q4
1999,Q1,TotalServices,TS,UTIM,SERCN,https://www.ons.gov.uk/search?q=UTIM,90694000000.0,1,1999 Q1
1999,Q2,TotalServices,TS,UTIM,SERCN,https://www.ons.gov.uk/search?q=UTIM,94625000000.0,1,1999 Q2
1999,Q3,TotalServices,TS,UTIM,SERCN,https://www.ons.gov.uk/search?q=UTIM,97650000000.0,1,1999 Q3
1999,Q4,TotalServices,TS,UTIM,SERCN,https://www.ons.gov.uk/search?q=UTIM,96303000000.0,1,1999 Q4
2000,Q1,TotalServices,TS,UTIM,SERCN,https://www.ons.gov.uk/search?q=UTIM,95049000000.0,1,2000 Q1
2000,Q2,TotalServices,TS,UTIM,SERCN,https://www.ons.gov.uk/search?q=UTIM,99357000000.0,1,2000 Q2
2000,Q3,TotalServices,TS,UTIM,SERCN,https://www.ons.gov.uk/search?q=UTIM,104266000000.0,1,2000 Q3
2000,Q4,TotalServices,TS,UTIM,SERCN,https://www.ons.gov.uk/search?q=UTIM,100547000000.0,1,2000 Q4
2001,Q1,TotalServices,TS,UTIM,SERCN,https://www.ons.gov.uk/search?q=UTIM,98443000000.0,1,2001 Q1
2001,Q2,TotalServices,TS,UTIM,SERCN,https://www.ons.gov.uk/search?q=UTIM,102540000000.0,1,2001 Q2
2001,Q3,TotalServices,TS,UTIM,SERCN,https://www.ons.gov.uk/search?q=UTIM,107690000000.0,1,2001 Q3
2001,Q4,TotalServices,TS,UTIM,SERCN,https://www.ons.gov.uk/search?q=UTIM,102145000000.0,1,2001 Q4
2002,Q1,TotalServices,TS,UTIM,SERCN,https://www.ons.gov.uk/search?q=UTIM,100456000000.0,1,2002 Q1
2002,Q2,TotalServices,TS,UTIM,SERCN,https://www.ons.gov.uk/search?q=UTIM,105938000000.0,1,2002 Q2
2002,Q3,TotalServices,TS,UTIM,SERCN,https://www.ons.gov.uk/search?q=UTIM,111029000000.0,1,2002 Q3
2002,Q4,TotalServices,TS,UTIM,SERCN,https://www.ons.gov.uk/search?q=UTIM,108159000000.0,1,2002 Q4
2003,Q1,TotalServices,TS,UTIM,SERCN,https://www.ons.gov.uk/search?q=UTIM,104453000000.0,1,2003 Q1
2003,Q2,TotalServices,TS,UTIM,SERCN,https://www.ons.gov.uk/search?q=UTIM,110319000000.0,1,2003 Q2
2003,Q3,TotalServices,TS,UTIM,SERCN,https://www.ons.gov.uk/search?q=UTIM,116329000000.0,1,2003 Q3
2003,Q4,TotalServices,TS,UTIM,SERCN,https://www.ons.gov.uk/search?q=UTIM,113323000000.0,1,2003 Q4
2004,Q1,TotalServices,TS,UTIM,SERCN,https://www.ons.gov.uk/search?q=UTIM,109731000000.0,1,2004 Q1
2004,Q2,TotalServices,TS,UTIM,SERCN,https://www.ons.gov.uk/search?q=UTIM,117456000000.0,1,2004 Q2
2004,Q3,TotalServices,TS,UTIM,SERCN,https://www.ons.gov.uk/search?q=UTIM,123378000000.0,1,2004 Q3
2004,Q4,TotalServices,TS,UTIM,SERCN,https://www.ons.gov.uk/search?q=UTIM,119760000000.0,1,2004 Q4
2005,Q1,TotalServices,TS,UTIM,SERCN,https://www.ons.gov.uk/search?q=UTIM,118520000000.0,1,2005 Q1
2005,Q2,TotalServices,TS,UTIM,SERCN,https://www.ons.gov.uk/search?q=UTIM,125300000000.0,1,2005 Q2
2005,Q3,TotalServices,TS,UTIM,SERCN,https://www.ons.gov.uk/search?q=UTIM,130060000000.0,1,2005 Q3
2005,Q4,TotalServices,TS,UTIM,SERCN,https://www.ons.gov.uk/search?q=UTIM,126562000000.0,1,2005 Q4
2006,Q1,TotalServices,TS,UTIM,SERCN,https://www.ons.gov.uk/search?q=UTIM,122709000000.0,1,2006 Q1
2006,Q2,TotalServices,TS,UTIM,SERCN,https://www.ons.gov.uk/search?q=UTIM,129822000000.0,1,2006 Q2
2006,Q3,TotalServices,TS,UTIM,SERCN,https://www.ons.gov.uk/search?q=UTIM,135361000000.0,1,2006 Q3
2006,Q4,TotalServices,TS,UTIM,SERCN,https://www.ons.gov.uk/search?q=UTIM,130695000000.0,1,2006 Q4
2007,Q1,TotalServices,TS,UTIM,SERCN,https://www.ons.gov.uk/search?q=UTIM,127625000000.0,1,2007 Q1
2007,Q2,TotalServices,TS,UTIM,SERCN,https://www.ons.gov.uk/search?q=UTIM,137885000000.0,1,2007 Q2
2007,Q3,TotalServices,TS,UTIM,SERCN,https://www.ons.gov.uk/search?q=UTIM,143772000000.0,1,2007 Q3
2007,Q4,TotalServices,TS,UTIM,SERCN,https://www.ons.gov.uk/search?q=UTIM,137309000000.0,1,2007 Q4
2008,Q1,TotalServices,TS,UTIM,SERCN,https://www.ons.gov.uk/search?q=UTIM,136894000000.0,1,2008 Q1
