Year,Quarter,NamedCost,COICOP,CDID,Source,Websource,ExpenditureValue,GroupTotal,Year_Quarter
1997,Q1,Totalgoods,TG,UTIE,TGCN,https://www.ons.gov.uk/search?q=UTIE,63778000000.0,1,1997 Q1
1997,Q2,Totalgoods,TG,UTIE,TGCN,https://www.ons.gov.uk/search?q=UTIE,63647000000.0,1,1997 Q2
1997,Q3,Totalgoods,TG,UTIE,TGCN,https://www.ons.gov.uk/search?q=UTIE,65418000000.0,1,1997 Q3
1997,Q4,Totalgoods,TG,UTIE,TGCN,https://www.ons.gov.uk/search?q=UTIE,71655000000.0,1,1997 Q4
1998,Q1,Totalgoods,TG,UTIE,TGCN,https://www.ons.gov.uk/search?q=UTIE,66972000000.0,1,1998 Q1
1998,Q2,Totalgoods,TG,UTIE,TGCN,https://www.ons.gov.uk/search?q=UTIE,66946000000.0,1,1998 Q2
1998,Q3,Totalgoods,TG,UTIE,TGCN,https://www.ons.gov.uk/search?q=UTIE,69229000000.0,1,1998 Q3
1998,Q4,Totalgoods,TG,UTIE,TGCN,https://www.ons.gov.uk/search?q=UTIE,75013000000.0,1,1998 Q4
1999,Q1,Totalgoods,TG,UTIE,TGCN,https://www.ons.gov.uk/search?q=UTIE,70151000000.0,1,1999 Q1
1999,Q2,Totalgoods,TG,UTIE,TGCN,https://www.ons.gov.uk/search?q=UTIE,71403000000.0,1,1999 Q2
1999,Q3,Totalgoods,TG,UTIE,TGCN,https://www.ons.gov.uk/search?q=UTIE,71545000000.0,1,1999 Q3
1999,Q4,Totalgoods,TG,UTIE,TGCN,https://www.ons.gov.uk/search?q=UTIE,78215000000.0,1,1999 Q4
2000,Q1,Totalgoods,TG,UTIE,TGCN,https://www.ons.gov.uk/search?q=UTIE,73219000000.0,1,2000 Q1
2000,Q2,Totalgoods,TG,UTIE,TGCN,https://www.ons.gov.uk/search?q=UTIE,73249000000.0,1,2000 Q2
2000,Q3,Totalgoods,TG,UTIE,TGCN,https://www.ons.gov.uk/search?q=UTIE,73256000000.0,1,2000 Q3
2000,Q4,Totalgoods,TG,UTIE,TGCN,https://www.ons.gov.uk/search?q=UTIE,82600000000.0,1,2000 Q4
2001,Q1,Totalgoods,TG,UTIE,TGCN,https://www.ons.gov.uk/search?q=UTIE,76352000000.0,1,2001 Q1
2001,Q2,Totalgoods,TG,UTIE,TGCN,https://www.ons.gov.uk/search?q=UTIE,76586000000.0,1,2001 Q2
2001,Q3,Totalgoods,TG,UTIE,TGCN,https://www.ons.gov.uk/search?q=UTIE,77048000000.0,1,2001 Q3
2001,Q4,Totalgoods,TG,UTIE,TGCN,https://www.ons.gov.uk/search?q=UTIE,86694000000.0,1,2001 Q4
2002,Q1,Totalgoods,TG,UTIE,TGCN,https://www.ons.gov.uk/search?q=UTIE,78911000000.0,1,2002 Q1
2002,Q2,Totalgoods,TG,UTIE,TGCN,https://www.ons.gov.uk/search?q=UTIE,78846000000.0,1,2002 Q2
2002,Q3,Totalgoods,TG,UTIE,TGCN,https://www.ons.gov.uk/search?q=UTIE,78483000000.0,1,2002 Q3
2002,Q4,Totalgoods,TG,UTIE,TGCN,https://www.ons.gov.uk/search?q=UTIE,89037000000.0,1,2002 Q4
2003,Q1,Totalgoods,TG,UTIE,TGCN,https://www.ons.gov.uk/search?q=UTIE,81723000000.0,1,2003 Q1
2003,Q2,Totalgoods,TG,UTIE,TGCN,https://www.ons.gov.uk/search?q=UTIE,82835000000.0,1,2003 Q2
2003,Q3,Totalgoods,TG,UTIE,TGCN,https://www.ons.gov.uk/search?q=UTIE,82536000000.0,1,2003 Q3
2003,Q4,Totalgoods,TG,UTIE,TGCN,https://www.ons.gov.uk/search?q=UTIE,92872000000.0,1,2003 Q4
2004,Q1,Totalgoods,TG,UTIE,TGCN,https://www.ons.gov.uk/search?q=UTIE,85196000000.0,1,2004 Q1
2004,Q2,Totalgoods,TG,UTIE,TGCN,https://www.ons.gov.uk/search?q=UTIE,85318000000.0,1,2004 Q2
2004,Q3,Totalgoods,TG,UTIE,TGCN,https://www.ons.gov.uk/search?q=UTIE,84473000000.0,1,2004 Q3
2004,Q4,Totalgoods,TG,UTIE,TGCN,https://www.ons.gov.uk/search?q=UTIE,96524000000.0,1,2004 Q4
2005,Q1,Totalgoods,TG,UTIE,TGCN,https://www.ons.gov.uk/search?q=UTIE,87005000000.0,1,2005 Q1
2005,Q2,Totalgoods,TG,UTIE,TGCN,https://www.ons.gov.uk/search?q=UTIE,86151000000.0,1,2005 Q2
2005,Q3,Totalgoods,TG,UTIE,TGCN,https://www.ons.gov.uk/search?q=UTIE,86890000000.0,1,2005 Q3
2005,Q4,Totalgoods,TG,UTIE,TGCN,https://www.ons.gov.uk/search?q=UTIE,100201000000.0,1,2005 Q4
2006,Q1,Totalgoods,TG,UTIE,TGCN,https://www.ons.gov.uk/search?q=UTIE,90434000000.0,1,2006 Q1
2006,Q2,Totalgoods,TG,UTIE,TGCN,https://www.ons.gov.uk/search?q=UTIE,90866000000.0,1,2006 Q2
2006,Q3,Totalgoods,TG,UTIE,TGCN,https://www.ons.gov.uk/search?q=UTIE,91126000000.0,1,2006 Q3
2006,Q4,Totalgoods,TG,UTIE,TGCN,https://www.ons.gov.uk/search?q=UTIE,103317000000.0,1,2006 Q4
2007,Q1,Totalgoods,TG,UTIE,TGCN,https://www.ons.gov.uk/search?q=UTIE,92756000000.0,1,2007 Q1
2007,Q2,Totalgoods,TG,UTIE,TGCN,https://www.ons.gov.uk/search?q=UTIE,93566000000.0,1,2007 Q2
2007,Q3,Totalgoods,TG,UTIE,TGCN,https://www.ons.gov.uk/search?q=UTIE,95517000000.0,1,2007 Q3
2007,Q4,Totalgoods,TG,UTIE,TGCN,https://www.ons.gov.uk/search?q=UTIE,109403000000.0,1,2007 Q4
2008,Q1,Totalgoods,TG,UTIE,TGCN,https://www.ons.gov.uk/search?q=UTIE,98933000000.0,1,2008 Q1
2008,Q2,Totalgoods,TG,UTIE,TGCN,https://www.ons.gov.uk/search?q=UTIE,99941000000.0,1,2008 Q2
2008,Q3,Totalgoods,TG,UTIE,TGCN,https://www.ons.gov.uk/search?q=UTIE,97316000000.0,1,2008 Q3
2008,Q4,Totalgoods,TG,UTIE,TGCN,https://www.ons.gov.uk/search?q=UTIE,106272000000.0,1,2008 Q4
2009,Q1,Totalgoods,TG,UTIE,TGCN,https://www.ons.gov.uk/search?q=UTIE,96838000000.0,1,2009 Q1
2009,Q2,Totalgoods,TG,UTIE,TGCN,https://www.ons.gov.uk/search?q=UTIE,96039000000.0,1,2009 Q2
2009,Q3,Totalgoods,TG,UTIE,TGCN,https://www.ons.gov.uk/search?q=UTIE,95861000000.0,1,2009 Q3
2009,Q4,Totalgoods,TG,UTIE,TGCN,https://www.ons.gov.uk/search?q=UTIE,110535000000.0,1,2009 Q4
2010,Q1,Totalgoods,TG,UTIE,TGCN,https://www.ons.gov.uk/search?q=UTIE,99141000000.0,1,2010 Q1
2010,Q2,Totalgoods,TG,UTIE,TGCN,https://www.ons.gov.uk/search?q=UTIE,100180000000.0,1,2010 Q2
2010,Q3,Totalgoods,TG,UTIE,TGCN,https://www.ons.gov.uk/search?q=UTIE,98911000000.0,1,2010 Q3
2010,Q4,Totalgoods,TG,UTIE,TGCN,https://www.ons.gov.uk/search?q=UTIE,114855000000.0,1,2010 Q4
